stck_bsop_date,futs_prpr,futs_oprc,futs_hgpr,futs_lwpr,acml_vol,acml_tr_pbmn,mod_yn,hts_otst_stpl_qty,otst_stpl_qty_icdc,code,trade_date,collection_time
2024-12-11,21.6,21.6,21.6,21.6,0,0,N,18,1,104W06,2025-06-05,19:28:20
2024-12-12,20.6,20.6,20.6,20.6,0,0,N,18,1,104W06,2025-06-05,19:28:20
2024-12-13,19.9,19.9,19.9,19.9,0,0,N,18,1,104W06,2025-06-05,19:28:20
2024-12-16,19.5,19.5,19.5,19.5,0,0,N,18,1,104W06,2025-06-05,19:28:20
2024-12-17,18.9,18.9,18.9,18.9,0,0,N,18,1,104W06,2025-06-05,19:28:20
2024-12-18,18.35,18.35,18.35,18.35,0,0,N,18,1,104W06,2025-06-05,19:28:20
2024-12-19,17.95,17.95,17.95,17.95,0,0,N,18,1,104W06,2025-06-05,19:28:20
2024-12-20,20.3,20.3,20.3,20.3,0,0,N,18,1,104W06,2025-06-05,19:28:20
2024-12-23,21.45,21.45,21.45,21.45,0,0,N,18,1,104W06,2025-06-05,19:28:20
2024-12-24,20.05,20.05,20.05,20.05,0,0,N,18,1,104W06,2025-06-05,19:28:20
2024-12-26,20.0,20.0,20.0,20.0,0,0,N,18,1,104W06,2025-06-05,19:28:20
2024-12-27,20.5,20.5,20.5,20.5,0,0,N,18,1,104W06,2025-06-05,19:28:20
2024-12-30,20.9,20.9,20.9,20.9,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-01-02,21.15,21.15,21.15,21.15,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-01-03,20.7,20.7,20.7,20.7,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-01-06,20.3,20.3,20.3,20.3,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-01-07,20.7,20.7,20.7,20.7,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-01-08,20.25,20.25,20.25,20.25,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-01-09,20.2,20.2,20.2,20.2,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-01-10,19.9,19.9,19.9,19.9,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-01-13,19.9,19.9,19.9,19.9,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-01-14,20.5,20.5,20.5,20.5,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-01-15,19.25,19.25,19.25,19.25,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-01-16,19.25,19.25,19.25,19.25,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-01-17,18.15,18.15,18.15,18.15,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-01-20,17.7,17.7,17.7,17.7,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-01-21,18.45,18.45,18.45,18.45,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-01-22,18.3,18.3,18.3,18.3,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-01-23,17.65,17.65,17.65,17.65,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-01-24,17.8,17.8,17.8,17.8,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-01-31,17.95,17.95,17.95,17.95,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-02-03,18.8,18.8,18.8,18.8,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-02-04,22.1,22.1,22.1,22.1,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-02-05,20.9,20.9,20.9,20.9,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-02-06,20.05,20.05,20.05,20.05,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-02-07,19.1,19.1,19.1,19.1,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-02-10,19.3,19.3,19.3,19.3,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-02-11,19.95,19.95,19.95,19.95,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-02-12,19.3,19.3,19.3,19.3,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-02-13,18.8,18.8,18.8,18.8,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-02-14,18.05,18.05,18.05,18.05,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-02-17,17.7,17.7,17.7,17.7,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-02-18,18.05,18.05,18.05,18.05,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-02-19,17.9,17.9,17.9,17.9,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-02-20,18.5,18.5,18.5,18.5,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-02-21,18.65,18.65,18.65,18.65,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-02-24,18.65,18.65,18.65,18.65,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-02-25,19.5,19.5,19.5,19.5,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-02-26,19.6,19.6,19.6,19.6,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-02-27,19.95,19.95,19.95,19.95,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-02-28,19.3,19.3,19.3,19.3,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-03-04,22.85,22.85,22.85,22.85,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-03-05,23.45,23.45,23.45,23.45,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-03-06,22.15,22.15,22.15,22.15,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-03-07,21.25,21.25,21.25,21.25,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-03-10,21.95,21.95,21.95,21.95,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-03-11,22.15,22.15,22.15,22.15,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-03-12,24.1,24.1,24.1,24.1,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-03-13,23.1,23.1,23.1,23.1,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-03-14,23.1,23.1,23.1,23.1,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-03-17,22.0,22.0,22.0,22.0,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-03-18,20.85,20.85,20.85,20.85,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-03-19,20.4,20.4,20.4,20.4,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-03-20,20.35,20.35,20.35,20.35,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-03-21,19.6,19.6,19.6,19.6,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-03-24,19.65,19.65,19.65,19.65,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-03-25,19.7,19.7,19.7,19.7,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-03-26,19.65,19.65,19.65,19.65,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-03-27,19.65,19.65,19.65,19.65,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-03-28,20.45,20.45,20.45,20.45,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-03-31,21.2,21.2,21.2,21.2,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-04-01,25.35,25.35,25.35,25.35,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-04-02,24.2,24.2,24.2,24.2,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-04-03,24.5,24.5,24.5,24.5,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-04-04,26.1,26.1,26.1,26.1,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-04-07,26.8,26.8,26.8,26.8,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-04-08,44.25,44.25,44.25,44.25,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-04-09,37.85,37.85,37.85,37.85,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-04-10,40.95,40.95,40.95,40.95,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-04-11,28.2,28.2,28.2,28.2,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-04-14,31.45,31.45,31.45,31.45,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-04-15,28.3,28.3,28.3,28.3,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-04-16,24.5,24.5,24.5,24.5,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-04-17,26.6,26.6,26.6,26.6,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-04-18,24.6,24.6,24.6,24.6,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-04-21,23.65,23.65,23.65,23.65,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-04-22,25.1,25.1,25.1,25.1,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-04-23,24.85,24.85,24.85,24.85,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-04-24,22.75,22.75,22.75,22.75,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-04-25,22.8,22.8,22.8,22.8,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-04-28,21.45,21.45,21.45,21.45,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-04-29,21.25,21.25,21.25,21.25,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-04-30,20.7,20.7,20.7,20.7,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-05-02,20.75,20.75,20.75,20.75,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-05-07,20.95,20.95,20.95,20.95,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-05-08,21.0,21.0,21.0,21.0,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-05-09,20.95,20.95,20.95,20.95,4,20950,N,18,1,104W06,2025-06-05,19:28:20
2025-05-12,20.05,20.05,20.05,20.05,4,20050,N,18,1,104W06,2025-06-05,19:28:20
2025-05-13,19.0,19.25,19.25,19.0,7,33375,N,18,1,104W06,2025-06-05,19:28:20
2025-05-14,18.9,18.8,18.9,18.75,4,18813,N,18,1,104W06,2025-06-05,19:28:20
2025-05-15,19.5,19.1,19.5,19.1,6,29013,N,18,1,104W06,2025-06-05,19:28:20
2025-05-16,19.1,19.1,19.1,19.1,1,4775,N,18,1,104W06,2025-06-05,19:28:20
2025-05-19,19.95,19.55,19.95,19.55,8,39575,N,18,1,104W06,2025-06-05,19:28:20
2025-05-20,19.45,19.45,19.45,19.45,1,4863,N,18,1,104W06,2025-06-05,19:28:20
2025-05-21,19.25,19.25,19.25,19.25,1,4813,N,18,1,104W06,2025-06-05,19:28:20
2025-05-22,20.05,19.8,20.05,19.8,5,24888,N,18,1,104W06,2025-06-05,19:28:20
2025-05-23,20.05,20.05,20.05,20.05,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-05-26,19.15,19.35,19.35,19.15,2,9625,N,18,1,104W06,2025-06-05,19:28:20
2025-05-27,19.15,19.15,19.15,19.15,0,0,N,18,1,104W06,2025-06-05,19:28:20
2025-05-28,20.4,19.35,20.4,19.35,3,14813,N,18,1,104W06,2025-06-05,19:28:20
2025-05-29,21.9,21.2,21.9,21.2,4,21600,N,18,1,104W06,2025-06-05,19:28:20
2025-05-30,22.55,22.4,22.55,22.4,18,101163,N,18,1,104W06,2025-06-05,19:28:20
2025-06-02,22.8,22.8,22.8,22.8,1,5700,N,18,1,104W06,2025-06-05,19:28:20
2025-06-04,22.1,22.1,22.35,22.1,8,44525,N,18,1,104W06,2025-06-05,19:28:20
2025-06-05,22.9,21.8,22.9,21.8,3,16675,N,18,1,104W06,2025-06-05,19:28:20
2024-12-11 00:00:00,21.6,21.6,21.6,21.6,0,0,N,18,1,104W06,2025-06-05,19:38:08
2024-12-12 00:00:00,20.6,20.6,20.6,20.6,0,0,N,18,1,104W06,2025-06-05,19:38:08
2024-12-13 00:00:00,19.9,19.9,19.9,19.9,0,0,N,18,1,104W06,2025-06-05,19:38:08
2024-12-16 00:00:00,19.5,19.5,19.5,19.5,0,0,N,18,1,104W06,2025-06-05,19:38:08
2024-12-17 00:00:00,18.9,18.9,18.9,18.9,0,0,N,18,1,104W06,2025-06-05,19:38:08
2024-12-18 00:00:00,18.35,18.35,18.35,18.35,0,0,N,18,1,104W06,2025-06-05,19:38:08
2024-12-19 00:00:00,17.95,17.95,17.95,17.95,0,0,N,18,1,104W06,2025-06-05,19:38:08
2024-12-20 00:00:00,20.3,20.3,20.3,20.3,0,0,N,18,1,104W06,2025-06-05,19:38:08
2024-12-23 00:00:00,21.45,21.45,21.45,21.45,0,0,N,18,1,104W06,2025-06-05,19:38:08
2024-12-24 00:00:00,20.05,20.05,20.05,20.05,0,0,N,18,1,104W06,2025-06-05,19:38:08
2024-12-26 00:00:00,20.0,20.0,20.0,20.0,0,0,N,18,1,104W06,2025-06-05,19:38:08
2024-12-27 00:00:00,20.5,20.5,20.5,20.5,0,0,N,18,1,104W06,2025-06-05,19:38:08
2024-12-30 00:00:00,20.9,20.9,20.9,20.9,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-01-02 00:00:00,21.15,21.15,21.15,21.15,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-01-03 00:00:00,20.7,20.7,20.7,20.7,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-01-06 00:00:00,20.3,20.3,20.3,20.3,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-01-07 00:00:00,20.7,20.7,20.7,20.7,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-01-08 00:00:00,20.25,20.25,20.25,20.25,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-01-09 00:00:00,20.2,20.2,20.2,20.2,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-01-10 00:00:00,19.9,19.9,19.9,19.9,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-01-13 00:00:00,19.9,19.9,19.9,19.9,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-01-14 00:00:00,20.5,20.5,20.5,20.5,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-01-15 00:00:00,19.25,19.25,19.25,19.25,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-01-16 00:00:00,19.25,19.25,19.25,19.25,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-01-17 00:00:00,18.15,18.15,18.15,18.15,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-01-20 00:00:00,17.7,17.7,17.7,17.7,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-01-21 00:00:00,18.45,18.45,18.45,18.45,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-01-22 00:00:00,18.3,18.3,18.3,18.3,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-01-23 00:00:00,17.65,17.65,17.65,17.65,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-01-24 00:00:00,17.8,17.8,17.8,17.8,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-01-31 00:00:00,17.95,17.95,17.95,17.95,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-02-03 00:00:00,18.8,18.8,18.8,18.8,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-02-04 00:00:00,22.1,22.1,22.1,22.1,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-02-05 00:00:00,20.9,20.9,20.9,20.9,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-02-06 00:00:00,20.05,20.05,20.05,20.05,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-02-07 00:00:00,19.1,19.1,19.1,19.1,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-02-10 00:00:00,19.3,19.3,19.3,19.3,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-02-11 00:00:00,19.95,19.95,19.95,19.95,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-02-12 00:00:00,19.3,19.3,19.3,19.3,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-02-13 00:00:00,18.8,18.8,18.8,18.8,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-02-14 00:00:00,18.05,18.05,18.05,18.05,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-02-17 00:00:00,17.7,17.7,17.7,17.7,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-02-18 00:00:00,18.05,18.05,18.05,18.05,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-02-19 00:00:00,17.9,17.9,17.9,17.9,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-02-20 00:00:00,18.5,18.5,18.5,18.5,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-02-21 00:00:00,18.65,18.65,18.65,18.65,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-02-24 00:00:00,18.65,18.65,18.65,18.65,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-02-25 00:00:00,19.5,19.5,19.5,19.5,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-02-26 00:00:00,19.6,19.6,19.6,19.6,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-02-27 00:00:00,19.95,19.95,19.95,19.95,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-02-28 00:00:00,19.3,19.3,19.3,19.3,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-03-04 00:00:00,22.85,22.85,22.85,22.85,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-03-05 00:00:00,23.45,23.45,23.45,23.45,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-03-06 00:00:00,22.15,22.15,22.15,22.15,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-03-07 00:00:00,21.25,21.25,21.25,21.25,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-03-10 00:00:00,21.95,21.95,21.95,21.95,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-03-11 00:00:00,22.15,22.15,22.15,22.15,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-03-12 00:00:00,24.1,24.1,24.1,24.1,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-03-13 00:00:00,23.1,23.1,23.1,23.1,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-03-14 00:00:00,23.1,23.1,23.1,23.1,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-03-17 00:00:00,22.0,22.0,22.0,22.0,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-03-18 00:00:00,20.85,20.85,20.85,20.85,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-03-19 00:00:00,20.4,20.4,20.4,20.4,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-03-20 00:00:00,20.35,20.35,20.35,20.35,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-03-21 00:00:00,19.6,19.6,19.6,19.6,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-03-24 00:00:00,19.65,19.65,19.65,19.65,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-03-25 00:00:00,19.7,19.7,19.7,19.7,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-03-26 00:00:00,19.65,19.65,19.65,19.65,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-03-27 00:00:00,19.65,19.65,19.65,19.65,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-03-28 00:00:00,20.45,20.45,20.45,20.45,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-03-31 00:00:00,21.2,21.2,21.2,21.2,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-04-01 00:00:00,25.35,25.35,25.35,25.35,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-04-02 00:00:00,24.2,24.2,24.2,24.2,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-04-03 00:00:00,24.5,24.5,24.5,24.5,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-04-04 00:00:00,26.1,26.1,26.1,26.1,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-04-07 00:00:00,26.8,26.8,26.8,26.8,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-04-08 00:00:00,44.25,44.25,44.25,44.25,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-04-09 00:00:00,37.85,37.85,37.85,37.85,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-04-10 00:00:00,40.95,40.95,40.95,40.95,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-04-11 00:00:00,28.2,28.2,28.2,28.2,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-04-14 00:00:00,31.45,31.45,31.45,31.45,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-04-15 00:00:00,28.3,28.3,28.3,28.3,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-04-16 00:00:00,24.5,24.5,24.5,24.5,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-04-17 00:00:00,26.6,26.6,26.6,26.6,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-04-18 00:00:00,24.6,24.6,24.6,24.6,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-04-21 00:00:00,23.65,23.65,23.65,23.65,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-04-22 00:00:00,25.1,25.1,25.1,25.1,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-04-23 00:00:00,24.85,24.85,24.85,24.85,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-04-24 00:00:00,22.75,22.75,22.75,22.75,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-04-25 00:00:00,22.8,22.8,22.8,22.8,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-04-28 00:00:00,21.45,21.45,21.45,21.45,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-04-29 00:00:00,21.25,21.25,21.25,21.25,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-04-30 00:00:00,20.7,20.7,20.7,20.7,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-05-02 00:00:00,20.75,20.75,20.75,20.75,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-05-07 00:00:00,20.95,20.95,20.95,20.95,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-05-08 00:00:00,21.0,21.0,21.0,21.0,0,0,N,18,1,104W06,2025-06-05,19:38:08
2025-05-09 00:00:00,20.95,20.95,20.95,20.95,4,20950,N,18,1,104W06,2025-06-05,19:38:08
2025-05-12 00:00:00,20.05,20.05,20.05,20.05,4,20050,N,18,1,104W06,2025-06-05,19:38:08
2025-05-13 00:00:00,19.0,19.25,19.25,19.0,7,33375,N,18,1,104W06,2025-06-05,19:38:08
2025-05-14 00:00:00,18.9,18.8,18.9,18.75,4,18813,N,18,1,104W06,2025-06-05,19:38:08
2025-05-15 00:00:00,19.5,19.1,19.5,19.1,6,29013,N,18,1,104W06,2025-06-05,19:38:08
2025-05-16 00:00:00,19.1,19.1,19.1,19.1,1,4775,N,18,1,104W06,2025-06-05,19:38:08
2025-05-19 00:00:00,19.95,19.55,19.95,19.55,8,39575,N,18,1,104W06,2025-06-05,19:38:08
2025-05-20 00:00:00,19.45,19.45,19.45,19.45,1,4863,N,18,1,104W06,2025-06-05,19:38:08
2025-05-21 00:00:00,19.25,19.25,19.25,19.25,1,4813,N,18,1,104W06,2025-06-05,19:38:08
